Time (s),Motion Intensity
2.7679,0.552
2.7835,0.5954
2.7992,0.5708
2.8148,0.5578
2.8305,0.5853
2.8461,0.5428
2.8617,0.4465
2.8774,0.4422
2.893,0.3714
2.9086,0.2991
2.9243,0.2876
2.9399,0.3165
2.9556,0.3873
2.9712,0.3461
2.9868,0.396
3.0025,0.4017
3.0181,0.4523
3.0338,0.3309
3.0494,0.3295
3.065,0.2543
3.0807,0.3497
3.0963,0.5318
3.1119,0.578
3.2058,0.3223
3.2214,0.3699
3.237,0.4306
3.2527,0.3858
3.2683,0.3309
3.284,0.3642
3.2996,0.3858
3.3152,0.396
3.3309,0.4104
3.3465,0.3199
3.3621,0.2818
3.3778,0.2818
3.3934,0.3064
3.4091,0.2939
3.4247,0.2991
3.4403,0.4595
3.456,0.4798
3.4716,0.5246
3.5029,0.3483
3.5185,0.3396
3.5342,0.3006
3.5498,0.237
3.5654,0.2746
3.5811,0.3348
3.5967,0.3569
3.6124,0.3714
3.628,0.4046
3.6436,0.4306
3.6593,0.4653
3.6749,0.4191
3.6905,0.3121
3.7062,0.3165
3.7218,0.2962
3.7375,0.2905
3.7531,0.2139
3.7687,0.2161
3.7844,0.2832
3.8,0.3035
3.8156,0.302
3.8313,0.3353
3.8469,0.4379
3.8626,0.5058
3.8782,0.4942
3.8938,0.3526
3.9095,0.341
3.9251,0.2847
3.9408,0.4639
3.9564,0.5332
3.972,0.5318
4.0502,0.2182
4.0659,0.2211
4.0815,0.2197
4.0971,0.1893
4.1128,0.1763
4.1284,0.2731
4.144,0.2991
4.1597,0.328
4.1753,0.3295
4.191,0.3266
4.2066,0.2471
4.2222,0.1864
4.2379,0.3049
4.2535,0.3078
4.2691,0.4668
4.2848,0.461
4.3004,0.3251
4.3161,0.565
4.3317,0.565
4.4255,0.3497
4.4412,0.3224
4.4568,0.211
4.4724,0.2355
4.4881,0.2587
4.5037,0.2836
4.5194,0.2341
4.535,0.2099
4.5506,0.2052
4.5663,0.1994
4.5819,0.3613
4.5975,0.3682
4.6132,0.4509
4.6288,0.396
4.6445,0.3988
4.6601,0.4827
4.6757,0.4032
4.6914,0.4017
4.707,0.3468
4.7226,0.3714
4.7383,0.3133
4.7539,0.2731
4.7696,0.2312
4.7852,0.2428
4.8008,0.2702
4.8165,0.2428
4.8321,0.2948
4.8477,0.2962
4.8634,0.3049
4.879,0.3945
4.8947,0.5087
4.9103,0.6431
5.0041,0.3194
5.0198,0.3309
5.0354,0.3324
5.051,0.3309
5.0667,0.3223
5.0823,0.4234
5.098,0.4191
5.1136,0.4162
5.1292,0.4061
5.1449,0.3142
5.1605,0.2413
5.1761,0.2225
5.1918,0.3049
5.2074,0.3064
5.2231,0.3179
5.2387,0.2775
5.2543,0.2059
5.27,0.211
5.2856,0.2254
5.3012,0.2153
5.3169,0.2514
5.3325,0.3878
5.3482,0.3873
5.3638,0.3844
5.3794,0.3569
5.3951,0.4133
5.4107,0.3656
5.4264,0.3179
5.442,0.2688
5.4576,0.3425
5.4733,0.354
5.4889,0.4118
5.5045,0.474
5.5202,0.5549
5.5358,0.435
5.6296,0.3092
5.6453,0.2818
5.6609,0.3757
5.6766,0.3815
5.6922,0.4162
5.786,0.2905
5.8017,0.4292
5.8173,0.4465
5.8798,0.341
5.8955,0.3006
5.9111,0.2948
5.9268,0.3468
5.9424,0.3671
5.958,0.3656
5.9737,0.25
5.9893,0.276
6.005,0.3251
6.0206,0.3613
6.0362,0.3642
6.0519,0.4306
6.0675,0.4133
6.0831,0.4104
6.0988,0.3049
6.1144,0.2572
6.1301,0.2572
6.1457,0.2818
6.1613,0.2197
6.177,0.2197
6.1926,0.2327
6.2082,0.2731
6.2239,0.3829
6.2395,0.3285
6.2552,0.237
6.2708,0.1272
6.4115,0.341
6.4272,0.4162
6.4428,0.4306
6.4585,0.4379
6.4741,0.4538
6.4897,0.3728
6.5054,0.4032
6.521,0.354
6.5366,0.2934
6.5523,0.2789
6.5679,0.276
6.5836,0.2702
6.5992,0.3237
6.6148,0.2327
6.6305,0.2254
6.6461,0.2312
6.693,0.3483
6.7087,0.3425
6.7243,0.4697
6.7399,0.5607
6.8338,0.3685
6.8494,0.328
6.865,0.302
6.8807,0.2731
6.8963,0.1474
6.912,0.1864
6.9276,0.1864
6.9432,0.2832
6.9589,0.3656
6.9745,0.3685
6.9901,0.3671
7.0058,0.2702
7.0214,0.2746
7.0371,0.2731
7.0527,0.246
7.0683,0.2731
7.084,0.2442
7.0996,0.4436
7.1152,0.3569
7.2091,0.3194
7.2247,0.3179
7.2403,0.3078
7.256,0.3815
7.2716,0.3772
7.2873,0.3772
7.3029,0.4133
7.3185,0.5101
7.3342,0.4827
7.3498,0.4436
7.3655,0.4133
7.3811,0.3714
