Time (s),Motion Intensity
0.0,0.532
0.0619,0.5457
0.1238,0.557
0.1857,0.492
0.2477,0.4599
0.3096,0.4502
0.3715,0.4689
0.4334,0.471
0.4953,0.466
0.5572,0.4936
0.6191,0.4658
0.6811,0.4618
0.743,0.477
0.8049,0.4886
0.8668,0.8316
0.9287,0.7971
0.9906,0.7514
1.0525,0.7486
6.3771,0.1821
6.439,0.1199
6.5009,0.1171
6.5629,0.2023
6.6248,0.2139
6.6867,0.2543
6.7486,0.2095
6.8105,0.2197
6.8724,0.2645
6.9343,0.289
6.9962,0.2803
7.0582,0.2023
7.1201,0.14
7.182,0.1214
7.2439,0.1503
7.3058,0.1517
7.3677,0.1647
7.4296,0.1387
7.4916,0.1963
7.5535,0.2283
7.6154,0.2197
7.6773,0.1575
7.7392,0.1575
7.8011,0.1749
7.863,0.0896
7.925,0.1127
7.9869,0.1387
8.0488,0.1416
8.1107,0.1806
8.1726,0.2139
8.2345,0.211
8.2964,0.2168
8.3583,0.1329
8.4203,0.2172
8.4822,0.2312
8.5441,0.3107
8.606,0.1806
8.6679,0.1806
8.7298,0.1329
8.7917,0.0997
8.8537,0.1445
8.9156,0.1445
8.9775,0.1836
9.0394,0.3165
9.1013,0.3512
9.1632,0.3512
9.2251,0.1633
9.2871,0.1749
9.349,0.1763
9.4109,0.2139
9.4728,0.2066
9.5347,0.159
9.5966,0.1517
9.6585,0.1142
9.7205,0.1431
9.7824,0.2341
9.8443,0.2341
9.9062,0.1922
9.9681,0.1829
10.03,0.1821
10.0919,0.2139
10.1538,0.1445
10.2158,0.1373
10.2777,0.1864
10.3396,0.1879
10.4015,0.1584
10.4634,0.1026
10.5253,0.2422
10.5872,0.3988
11.0826,0.1445
11.1445,0.1445
11.2064,0.1199
11.2683,0.1214
11.3302,0.1228
11.3921,0.0824
11.454,0.0954
11.5159,0.0939
11.5779,0.3006
11.6398,0.3107
11.7017,0.3121
11.7636,0.172
11.8255,0.2673
11.8874,0.3874
11.9493,0.3829
12.0113,0.2428
12.0732,0.224
12.1351,0.159
12.197,0.237
12.2589,0.2746
12.3208,0.2818
12.3827,0.2789
12.5066,0.1777
12.5685,0.1424
12.6304,0.1069
12.6923,0.2095
12.7542,0.211
12.8161,0.2139
12.878,0.1358
12.94,0.1445
13.0019,0.1286
13.0638,0.1301
13.1257,0.1113
13.1876,0.1749
13.2495,0.224
13.3114,0.224
13.3734,0.2211
13.4353,0.0939
13.4972,0.0983
13.5591,0.1272
13.621,0.1243
13.6829,0.2702
13.7448,0.289
13.8068,0.2991
13.8687,0.2211
13.9306,0.159
13.9925,0.1474
14.0544,0.1908
14.1163,0.1893
14.1782,0.1708
14.2402,0.1431
14.3021,0.0939
14.364,0.1879
14.4259,0.1893
14.4878,0.2124
14.5497,0.3526
14.6116,0.3251
14.7974,0.2095
14.8593,0.3526
14.9212,0.3324
15.2927,0.2225
15.3546,0.1994
15.4165,0.3056
15.4784,0.3092
15.788,0.1936
15.8499,0.1994
15.9118,0.1734
15.9737,0.1662
16.0356,0.198
16.0976,0.198
16.1595,0.1329
16.2214,0.1416
16.2833,0.1488
16.3452,0.1286
16.4071,0.2088
16.469,0.3309
16.531,0.3584
16.5929,0.2907
16.7167,0.1431
16.7786,0.1575
16.8405,0.1575
16.9024,0.2032
16.9644,0.2211
17.0263,0.2225
17.0882,0.121
17.1501,0.091
17.212,0.0838
17.2739,0.1171
17.3358,0.1185
17.3977,0.2572
17.4597,0.2587
17.5216,0.25
17.5835,0.2162
17.7073,0.2009
17.7692,0.2139
17.8311,0.3049
17.8931,0.3206
17.955,0.2514
18.0169,0.2486
18.0788,0.2572
18.1407,0.2572
18.2026,0.2804
18.2645,0.1416
18.3265,0.1272
18.3884,0.2103
18.4503,0.2197
18.5122,0.2211
18.5741,0.1893
18.636,0.198
18.6979,0.4581
18.7598,0.4451
18.9456,0.2168
19.0075,0.2197
19.0694,0.3757
19.1313,0.2355
19.1932,0.2254
19.2552,0.1113
19.3171,0.1142
19.379,0.1171
19.4409,0.1431
19.5028,0.1994
19.5647,0.2211
19.6266,0.1647
19.6886,0.1431
19.7505,0.0621
19.8124,0.0896
19.8743,0.1127
19.9362,0.1199
19.9981,0.1171
20.06,0.1156
20.122,0.1835
20.1839,0.2529
20.2458,0.3006
20.3077,0.3584
20.3696,0.3584
20.4315,0.2746
20.4934,0.1792
20.5553,0.1171
20.6173,0.1012
20.6792,0.0997
20.7411,0.1156
20.803,0.1127
20.8649,0.1026
20.9268,0.1734
20.9887,0.2313
21.0507,0.3728
21.1126,0.4061
21.3602,0.1387
21.4221,0.2587
21.4841,0.3121
21.546,0.2702
21.6079,0.1647
21.6698,0.1329
21.7317,0.1922
21.7936,0.1835
21.8555,0.159
21.9174,0.1358
21.9794,0.1286
22.0413,0.2818
22.1032,0.2832
22.1651,0.2832
22.227,0.2645
22.2889,0.2659
22.4128,0.1922
22.4747,0.1865
22.5366,0.0968
22.5985,0.0694
22.6604,0.1012
22.7223,0.104
22.7842,0.0939
22.8462,0.0939
22.9081,0.0954
22.97,0.159
23.0319,0.2081
23.0938,0.1879
23.1557,0.1373
23.2176,0.1069
23.2795,0.0838
23.3415,0.0896
23.4034,0.1069
23.4653,0.1402
23.5272,0.1084
23.5891,0.2095
23.651,0.2803
23.7129,0.2775
23.7749,0.2746
23.8368,0.1488
23.8987,0.1575
23.9606,0.2283
24.0225,0.2298
24.0844,0.2486
24.1463,0.1879
24.2083,0.0997
24.2702,0.0723
24.3321,0.0578
24.394,0.2068
24.4559,0.211
24.5178,0.2659
24.5797,0.1618
24.6417,0.1243
24.7036,0.1373
24.7655,0.3309
24.8274,0.3396
25.137,0.341
25.1989,0.3482
25.2608,0.2514
25.3227,0.143
25.3846,0.1445
25.4465,0.1705
25.5084,0.104
25.5704,0.1113
25.6323,0.1113
25.6942,0.1055
25.7561,0.1373
25.818,0.1546
25.8799,0.1228
25.9418,0.146
26.0038,0.2543
26.0657,0.2702
26.1276,0.2066
26.1895,0.2095
26.2514,0.3324
26.3133,0.3613
26.3752,0.2334
26.4371,0.1763
26.4991,0.1546
26.561,0.1844
26.6229,0.2197
26.6848,0.1864
26.7467,0.172
26.8086,0.1604
26.8705,0.172
