Time (s),Motion Intensity
0.0,0.532
0.0619,0.5457
0.1238,0.557
0.1857,0.492
0.2477,0.4599
0.3096,0.4502
0.3715,0.4689
0.4334,0.471
0.4953,0.466
0.5572,0.4936
0.6191,0.4658
0.6811,0.4618
0.743,0.477
0.8049,0.4886
0.8668,0.8316
0.9287,0.7971
0.9906,0.7514
1.0525,0.7486
6.3771,0.0679
6.439,0.1691
6.5009,0.1691
6.5629,0.1561
6.6248,0.1127
6.6867,0.1965
6.7486,0.2139
6.8105,0.2124
6.8724,0.4234
6.9343,0.4249
7.182,0.172
7.2439,0.219
7.3058,0.2486
7.3677,0.2673
7.4296,0.2717
7.4916,0.3916
7.5535,0.4075
7.8011,0.4538
7.863,0.4422
7.925,0.2731
7.9869,0.2731
8.1107,0.211
8.1726,0.3064
8.2345,0.3064
8.2964,0.3586
8.3583,0.4639
8.9156,0.2009
8.9775,0.2225
9.0394,0.2211
9.1013,0.2197
9.1632,0.2182
9.2251,0.3136
9.2871,0.3136
9.4728,0.1618
9.5347,0.1604
9.5966,0.1835
9.6585,0.2139
9.7205,0.2486
9.7824,0.4408
9.8443,0.409
9.9062,0.4075
9.9681,0.2587
10.03,0.2384
10.0919,0.3837
10.1538,0.4118
10.2158,0.3454
10.5253,0.3338
10.773,0.3801
10.8349,0.3642
10.8968,0.5621
11.5159,0.2991
11.5779,0.3659
11.6398,0.3685
11.7017,0.3757
11.9493,0.153
12.0113,0.1965
12.0732,0.2731
12.1351,0.2645
12.197,0.2616
12.2589,0.1633
12.3208,0.1662
12.3827,0.2832
12.4447,0.2861
12.5066,0.255
12.5685,0.2081
12.6304,0.2095
12.6923,0.3203
12.7542,0.3425
12.8161,0.3454
13.0638,0.3078
13.1257,0.3772
13.1876,0.3363
13.2495,0.2124
13.3114,0.2182
13.3734,0.341
13.4353,0.3584
13.4972,0.2694
13.5591,0.2056
13.621,0.2327
13.6829,0.2327
13.7448,0.2355
13.8068,0.2355
13.8687,0.2384
13.9306,0.224
13.9925,0.1416
14.0544,0.1431
14.1163,0.1749
14.1782,0.2321
14.2402,0.2919
14.3021,0.2514
14.364,0.1879
14.4259,0.1793
14.4878,0.1835
14.5497,0.2542
14.6116,0.2601
14.6735,0.2471
14.7355,0.2182
14.7974,0.2746
14.8593,0.2832
14.9212,0.2753
14.9831,0.2616
15.045,0.2905
15.1069,0.3035
15.1689,0.354
15.2308,0.3858
15.5403,0.2818
15.6023,0.2775
15.6642,0.1965
15.7261,0.2182
15.788,0.2254
15.8499,0.2442
15.9118,0.2066
15.9737,0.2934
16.0356,0.2471
16.0976,0.2457
16.1595,0.2688
16.2214,0.2991
16.2833,0.2991
16.531,0.2399
16.6548,0.237
16.7167,0.2298
16.7786,0.2298
16.8405,0.2572
16.9024,0.1806
16.9644,0.2457
17.0263,0.2269
17.0882,0.1474
17.1501,0.198
17.212,0.2471
17.2739,0.3656
17.3358,0.3858
17.3977,0.3367
17.5216,0.2038
17.6454,0.159
17.7073,0.1618
17.7692,0.1142
17.8311,0.1864
17.8931,0.2211
17.955,0.1621
18.0169,0.2139
18.0788,0.1951
18.1407,0.2327
18.2026,0.2341
18.3884,0.185
18.4503,0.2803
18.5122,0.4017
18.8218,0.2775
18.8837,0.1373
18.9456,0.1445
19.0075,0.2572
19.0694,0.2632
19.1313,0.2645
19.1932,0.2023
19.2552,0.1676
19.3171,0.1084
19.379,0.1122
19.4409,0.1069
19.5028,0.2038
19.5647,0.1662
19.6266,0.1647
19.6886,0.2211
19.7505,0.3353
19.8124,0.2659
19.8743,0.2384
19.9362,0.1994
19.9981,0.1994
20.06,0.1387
20.122,0.2132
20.1839,0.4379
20.2458,0.4292
20.3077,0.345
20.3696,0.1609
20.4315,0.2789
20.4934,0.4422
20.5553,0.3613
20.7411,0.2327
20.803,0.2327
20.9887,0.289
21.0507,0.2572
21.1126,0.3048
21.4221,0.1705
21.4841,0.1705
21.546,0.2355
21.6079,0.25
21.6698,0.2312
21.7317,0.2529
21.7936,0.2861
21.8555,0.2861
22.3508,0.2399
22.4128,0.2616
22.4747,0.211
22.5366,0.1676
22.5985,0.2919
22.6604,0.3829
22.7223,0.3844
22.7842,0.2616
22.8462,0.1662
22.9081,0.2457
22.97,0.2457
23.0319,0.3425
23.0938,0.3121
23.1557,0.2977
23.2176,0.1055
23.2795,0.2384
23.3415,0.2413
23.4034,0.2876
23.4653,0.2702
23.5272,0.2782
23.5891,0.1908
23.651,0.1893
23.7129,0.1705
23.7749,0.1691
23.8368,0.1488
23.8987,0.2558
23.9606,0.2471
24.0225,0.3121
24.2702,0.3049
24.3321,0.2962
24.5797,0.1373
24.6417,0.2283
24.7036,0.185
24.7655,0.1749
24.8274,0.2081
24.8893,0.224
24.9512,0.2614
25.0131,0.2269
25.075,0.2832
25.137,0.2847
25.3227,0.172
25.3846,0.1171
25.4465,0.2514
25.5084,0.2543
25.7561,0.2312
25.818,0.2312
25.8799,0.3309
25.9418,0.3613
26.0038,0.3483
26.1895,0.2168
26.3752,0.2269
26.4371,0.2442
26.4991,0.2457
26.561,0.2457
26.7467,0.146
26.8086,0.2009
26.8705,0.1749
26.9325,0.2371
26.9944,0.3237
27.0563,0.3887
27.1182,0.315
27.1801,0.237
27.242,0.2124
27.3039,0.2529
27.3659,0.3049
27.4897,0.3545
27.5516,0.3454
27.9231,0.3844
28.1707,0.2842
28.4184,0.2962
28.4803,0.3309
28.5422,0.2514
28.9756,0.1777
29.0375,0.1777
29.0994,0.2124
29.1614,0.289
29.2233,0.289
29.2852,0.2443
29.3471,0.328
29.409,0.328
30.3377,0.2818
30.5854,0.104
30.6473,0.1431
30.7092,0.3889
30.7711,0.3786
31.5141,0.1911
31.576,0.1488
31.6379,0.2471
31.6998,0.2486
31.7617,0.2803
31.8236,0.1785
31.8856,0.159
31.9475,0.1358
32.0094,0.1749
32.0713,0.2684
32.1332,0.2789
32.1951,0.2355
32.257,0.1402
32.3189,0.1691
32.3809,0.2009
32.4428,0.2399
32.5047,0.276
32.5666,0.2428
32.6285,0.2428
32.6904,0.1474
32.7523,0.172
32.8143,0.1633
32.8762,0.1618
32.9381,0.1402
33.0,0.2124
33.0619,0.263
33.1238,0.3555
33.1857,0.3195
