Time (s),Motion Intensity
2.7679,0.4075
2.7835,0.2962
2.7992,0.2529
2.8148,0.2197
2.8305,0.2587
2.8461,0.2601
2.8617,0.2645
2.8774,0.2948
2.893,0.3133
2.9086,0.2442
2.9243,0.1792
2.9399,0.2312
2.9556,0.3627
2.9712,0.4451
2.9868,0.4986
3.0025,0.3439
3.0181,0.263
3.0338,0.2023
3.0494,0.2717
3.065,0.3817
3.0807,0.3656
3.0963,0.4653
3.1119,0.4682
3.2058,0.3194
3.2214,0.3815
3.2527,0.2269
3.2683,0.1517
3.284,0.1358
3.2996,0.1445
3.3152,0.1994
3.3309,0.2052
3.3465,0.1893
3.3621,0.1922
3.3778,0.2038
3.3934,0.2832
3.4091,0.2587
3.4247,0.2095
3.4403,0.2023
3.456,0.1662
3.4716,0.2124
3.4873,0.4104
3.5029,0.4783
3.5185,0.3786
3.5342,0.276
3.5498,0.1792
3.5967,0.4032
3.6124,0.3006
3.628,0.1893
3.6436,0.1402
3.6593,0.2413
3.6749,0.2543
3.6905,0.2529
3.7062,0.1835
3.7218,0.2009
3.7375,0.2587
3.7531,0.2645
3.7687,0.4032
3.7844,0.4046
3.8,0.3699
3.8156,0.3208
3.8313,0.263
3.8469,0.2355
3.8626,0.263
3.8782,0.2269
3.8938,0.1647
3.9095,0.2341
3.9251,0.2376
3.9408,0.289
3.9564,0.2876
3.972,0.1864
3.9877,0.2269
4.0033,0.2283
4.0189,0.3307
4.0346,0.3555
4.0502,0.6835
4.0659,0.6835
4.1597,0.6113
4.1753,0.6517
4.2066,0.3685
4.2222,0.3699
4.3004,0.4249
4.3161,0.487
4.3317,0.4451
4.3473,0.3468
4.363,0.3656
4.3786,0.4249
4.3942,0.4263
4.5194,0.1994
4.535,0.3165
4.5663,0.5679
4.6601,0.448
4.6757,0.604
4.6914,0.5737
4.7226,0.3266
4.7383,0.3136
4.7696,0.4061
4.7852,0.3396
4.8008,0.2572
4.8165,0.2283
4.8321,0.3006
4.8477,0.2847
4.8634,0.2861
4.879,0.2876
4.8947,0.5596
4.9103,0.5723
4.9259,0.4711
5.0041,0.1994
5.0198,0.3237
5.0354,0.3251
5.051,0.3757
5.0667,0.3483
5.0823,0.3035
5.1136,0.2415
5.1292,0.1936
5.1449,0.25
5.1605,0.4306
5.1761,0.5188
5.2387,0.4754
5.27,0.1936
5.3169,0.328
5.3325,0.4133
5.3482,0.4711
5.3638,0.4812
5.3794,0.4841
5.3951,0.396
5.4107,0.4306
5.4264,0.4017
5.442,0.3497
5.4576,0.3194
5.4733,0.3208
5.4889,0.409
5.5045,0.4436
5.5202,0.4595
5.5358,0.3931
5.5515,0.2428
5.5671,0.2211
5.5827,0.2616
5.5984,0.2702
5.614,0.2587
5.6296,0.315
5.6453,0.448
5.6609,0.4829
5.6766,0.4306
5.6922,0.2731
5.7078,0.2934
5.7235,0.2211
5.7391,0.2182
5.7547,0.211
5.7704,0.1879
5.786,0.185
5.8017,0.2428
5.8173,0.422
5.8329,0.4321
5.8486,0.341
5.8642,0.2471
5.8798,0.1546
5.9111,0.1503
5.9268,0.3107
5.9424,0.3179
5.958,0.3136
5.9737,0.2413
5.9893,0.3092
6.005,0.4017
6.0362,0.2659
6.0519,0.2384
6.0675,0.2211
6.0831,0.2486
6.0988,0.4422
6.1144,0.448
6.1301,0.4465
6.2082,0.2934
6.2239,0.3858
6.2395,0.4812
6.2552,0.4581
6.2708,0.3398
6.2864,0.3064
6.3021,0.3078
6.3177,0.3512
6.3333,0.2298
6.349,0.2211
6.3646,0.3439
6.3803,0.4046
6.3959,0.3931
6.4115,0.3874
6.4272,0.3786
6.4428,0.4899
6.4585,0.4451
6.4741,0.3829
6.4897,0.2197
6.5054,0.2818
6.521,0.3049
6.5366,0.3266
6.5523,0.3251
6.5679,0.3772
6.5836,0.2991
6.5992,0.2775
6.6148,0.2298
6.6305,0.2312
6.6461,0.2298
6.6617,0.1951
6.6774,0.3237
6.693,0.3627
6.7087,0.3078
6.7243,0.1763
6.7399,0.2818
6.7556,0.3382
6.7712,0.3367
6.7868,0.3121
6.8025,0.3671
6.8181,0.3512
6.8338,0.2789
6.8494,0.2847
6.865,0.3179
6.8807,0.3251
6.8963,0.3569
6.912,0.3757
6.9276,0.2948
6.9432,0.2283
6.9589,0.2876
6.9745,0.3049
6.9901,0.212
7.0058,0.1893
7.0214,0.1908
7.0371,0.2182
7.0527,0.3035
7.0683,0.409
7.084,0.315
7.0996,0.315
7.1152,0.2948
7.1309,0.3584
7.1465,0.4697
7.1622,0.552
7.1778,0.5289
7.1934,0.3208
7.2091,0.2659
7.2247,0.2168
7.2403,0.4812
7.256,0.5
7.2873,0.2919
7.3498,0.2514
7.3655,0.3049
7.3811,0.3179
7.3967,0.3338
7.4124,0.3786
7.428,0.3801
7.4436,0.4133
7.4593,0.3743
7.4749,0.3136
7.4906,0.3295
7.5062,0.3367
7.5218,0.4552
7.5375,0.4032
7.5531,0.4263
7.5687,0.3902
7.5844,0.5055
7.6,0.5072
7.6157,0.4697
7.6313,0.2861
7.6469,0.2153
7.6626,0.2529
7.6782,0.2506
7.6938,0.2399
7.7095,0.2052
7.7251,0.2471
7.7408,0.2809
7.7564,0.2153
7.772,0.1994
7.7877,0.1618
7.8033,0.3223
7.8189,0.3497
7.8346,0.3671
7.8502,0.3613
7.8659,0.3627
7.8815,0.4263
7.8971,0.3584
7.9128,0.2847
7.9284,0.2428
7.9441,0.2905
7.9597,0.2384
7.9753,0.237
7.991,0.2659
8.0066,0.3887
8.0222,0.3338
8.0379,0.2327
8.0535,0.1965
8.0692,0.2688
8.0848,0.2558
8.1004,0.3671
8.1161,0.3743
8.1317,0.3916
8.1473,0.2355
8.163,0.2399
8.1786,0.2481
8.1943,0.2153
8.2099,0.1532
8.2255,0.1373
8.2412,0.1821
8.2568,0.2081
8.2724,0.3497
8.2881,0.3526
8.3037,0.4046
8.3194,0.3801
8.335,0.5809
8.3506,0.6051
8.3663,0.5188
8.4445,0.2341
8.4601,0.2312
8.4757,0.3165
8.4914,0.3815
8.507,0.3584
8.5227,0.3569
8.5383,0.3772
8.5539,0.4133
8.5696,0.3136
8.5852,0.2659
8.6008,0.2688
8.6165,0.4775
8.6321,0.4725
8.6478,0.4668
8.6634,0.2095
8.679,0.198
8.7259,0.3671
8.7416,0.4205
8.8511,0.2254
8.8667,0.2688
8.8823,0.2702
8.898,0.2529
8.9136,0.3945
8.9292,0.5159
8.9449,0.4769
9.0231,0.2182
9.0387,0.3367
9.0543,0.409
9.07,0.4812
9.1013,0.3815
9.1169,0.3497
9.1325,0.3237
9.1482,0.3772
9.1638,0.5361
9.1794,0.5506
9.1951,0.4581
9.2107,0.313
9.2264,0.2731
9.242,0.2746
9.2576,0.3035
9.2733,0.2803
9.2889,0.2775
9.3045,0.2587
9.3202,0.2312
9.3358,0.2153
9.3515,0.2211
9.3671,0.2038
9.3827,0.3699
9.3984,0.4581
9.414,0.5347
9.4297,0.4653
9.4453,0.3598
9.4609,0.3873
9.4766,0.4094
9.4922,0.3945
9.5078,0.3121
9.5235,0.3497
9.5391,0.2977
9.5548,0.2948
9.5704,0.4436
9.586,0.4812
9.6017,0.4697
9.6173,0.3439
9.6329,0.2832
9.6486,0.2645
9.6642,0.2659
9.6799,0.4624
9.6955,0.5217
9.805,0.4234
9.8519,0.2818
9.8832,0.2211
9.8988,0.0679
