Time (s),Motion Intensity
0.0,0.532
0.0619,0.5457
0.1238,0.557
0.1857,0.492
0.2477,0.4599
0.3096,0.4502
0.3715,0.4689
0.4334,0.471
0.4953,0.466
0.5572,0.4936
0.6191,0.4658
0.6811,0.4618
0.743,0.477
0.8049,0.4886
0.8668,0.8316
0.9287,0.7971
0.9906,0.7514
1.0525,0.7486
6.3771,0.1228
6.439,0.2038
6.5009,0.2052
6.5629,0.2312
6.6248,0.1879
6.6867,0.2081
6.7486,0.2066
6.8105,0.1994
6.8724,0.3136
6.9343,0.3382
6.9962,0.2832
7.182,0.1734
7.2439,0.2717
7.3058,0.2052
7.3677,0.2659
7.4296,0.224
7.4916,0.1792
7.5535,0.1792
7.6154,0.1893
7.6773,0.1821
7.7392,0.2847
7.8011,0.2413
7.863,0.2413
8.2345,0.0578
8.2964,0.1474
8.3583,0.2442
8.4203,0.2442
8.4822,0.3194
8.5441,0.2168
8.606,0.2182
8.6679,0.2572
8.7298,0.2616
8.7917,0.2702
8.8537,0.2066
8.9156,0.0708
8.9775,0.0983
9.0394,0.1835
9.1013,0.2945
9.1632,0.2953
9.2251,0.2587
9.349,0.3035
9.4109,0.4176
9.4728,0.3422
9.5347,0.3064
9.5966,0.1185
9.6585,0.0896
9.7205,0.1509
9.7824,0.1647
9.8443,0.2637
9.9062,0.237
9.9681,0.2832
10.2158,0.1228
10.2777,0.0867
10.3396,0.0954
10.4015,0.2023
10.4634,0.1705
10.5253,0.1705
10.5872,0.1908
10.6492,0.1676
10.7111,0.2384
10.773,0.2746
10.8349,0.2653
10.8968,0.1951
10.9587,0.2298
11.0206,0.2457
11.0826,0.2471
11.2683,0.2298
11.3302,0.185
11.3921,0.1358
11.454,0.1344
11.5159,0.1951
11.5779,0.185
11.6398,0.3699
11.7017,0.3454
12.0113,0.1954
12.0732,0.2934
12.1351,0.341
12.197,0.4306
12.2589,0.4451
12.3208,0.3306
12.3827,0.2928
12.4447,0.3064
12.6304,0.2514
12.6923,0.2948
12.7542,0.2616
13.0019,0.3801
13.0638,0.3136
13.1257,0.2153
13.1876,0.1561
13.2495,0.2052
13.3114,0.2708
13.3734,0.2775
13.4353,0.2847
13.621,0.1517
13.6829,0.1199
13.7448,0.1351
13.8068,0.1546
13.8687,0.1951
13.9306,0.1676
13.9925,0.1691
14.0544,0.2066
14.1163,0.1879
14.1782,0.1625
14.2402,0.2685
14.3021,0.263
14.364,0.2676
14.4259,0.2934
14.7355,0.2197
14.7974,0.4711
15.045,0.3194
15.1069,0.2688
15.1689,0.219
15.2308,0.1474
15.2927,0.2601
15.3546,0.2327
15.4165,0.3309
15.4784,0.3338
15.788,0.198
15.8499,0.3006
16.0976,0.3258
16.1595,0.3049
16.2214,0.3049
16.531,0.1358
16.5929,0.2457
16.6548,0.2457
16.8405,0.2616
16.9024,0.2283
16.9644,0.2197
17.0263,0.1676
17.0882,0.2009
17.1501,0.1705
17.212,0.1835
17.2739,0.1373
17.3358,0.1994
17.3977,0.1994
17.4597,0.3042
17.5216,0.3309
18.0169,0.0809
18.0788,0.1243
18.1407,0.1488
18.2026,0.2399
18.2645,0.1936
18.3265,0.276
18.3884,0.2775
18.8837,0.2341
18.9456,0.2312
19.0075,0.2841
19.0694,0.2717
19.3171,0.1913
19.379,0.2081
19.4409,0.1806
19.5028,0.172
19.5647,0.2471
19.6266,0.2847
19.8124,0.4552
20.06,0.4205
20.3077,0.3382
20.3696,0.3642
20.4315,0.2711
20.4934,0.2355
20.5553,0.2139
20.6173,0.2153
20.6792,0.2471
21.2364,0.2023
21.2983,0.1676
21.3602,0.1272
21.4221,0.1575
21.4841,0.1835
21.546,0.2327
21.6079,0.2082
21.6698,0.1898
21.7317,0.0638
21.7936,0.0853
21.8555,0.3815
21.9174,0.3569
22.1651,0.0954
22.227,0.0954
22.2889,0.2431
22.3508,0.3555
22.4128,0.422
22.4747,0.2585
22.5985,0.2688
22.6604,0.2688
22.8462,0.1488
22.9081,0.1127
22.97,0.1127
23.0319,0.0983
23.0938,0.3324
23.1557,0.3324
23.5891,0.2457
23.651,0.2038
23.7129,0.146
23.7749,0.2168
23.8368,0.185
23.8987,0.2095
23.9606,0.2702
24.0225,0.2182
24.0844,0.2182
24.2702,0.2211
24.3321,0.1806
24.394,0.1503
24.4559,0.2355
24.5178,0.2702
24.5797,0.1893
24.6417,0.1896
24.7036,0.2572
24.7655,0.2341
24.8274,0.1575
24.8893,0.159
24.9512,0.318
25.0131,0.3584
25.4465,0.3295
25.5084,0.1879
25.5704,0.1806
25.6323,0.172
25.6942,0.1908
25.7561,0.1835
25.818,0.1821
25.8799,0.2182
25.9418,0.3555
26.0038,0.3627
26.0657,0.3397
26.1276,0.2717
26.1895,0.3497
26.2514,0.3699
26.3133,0.341
26.3752,0.2529
26.4371,0.2514
26.4991,0.2355
26.561,0.3251
26.6229,0.3237
26.8086,0.159
26.8705,0.1575
26.9325,0.2529
26.9944,0.2486
27.0563,0.2254
27.1182,0.1266
27.1801,0.4277
27.242,0.4292
27.3039,0.4176
27.4897,0.1705
27.5516,0.2264
27.6135,0.237
27.6754,0.2471
27.7373,0.1604
27.7992,0.237
27.8612,0.211
27.9231,0.2095
27.985,0.1098
28.0469,0.1763
28.1088,0.1908
28.1707,0.2746
28.2326,0.2905
28.2946,0.3165
28.3565,0.2384
28.4184,0.2115
28.4803,0.1841
28.5422,0.2066
28.6041,0.2095
28.666,0.1478
28.728,0.1373
28.7899,0.1344
28.8518,0.1576
28.9137,0.2977
28.9756,0.3027
29.0375,0.2335
29.0994,0.1922
29.1614,0.1647
29.2233,0.1402
29.2852,0.1329
29.3471,0.185
29.409,0.2081
29.4709,0.2139
29.5328,0.2341
29.5947,0.2269
29.6567,0.3223
29.7186,0.3223
29.7805,0.3179
29.9662,0.2529
30.0281,0.263
30.0901,0.2009
30.152,0.2038
30.2139,0.1763
30.2758,0.1662
30.3377,0.1676
30.3996,0.1546
30.4615,0.2066
30.5235,0.2095
30.5854,0.2081
30.6473,0.2153
30.7092,0.2616
30.7711,0.2587
30.833,0.2702
30.8949,0.2702
30.9568,0.2775
31.0807,0.2254
31.1426,0.3208
31.2045,0.3223
31.2664,0.2977
31.3283,0.2558
