Time (s),Motion Intensity
0.0,0.532
0.0619,0.5457
0.1238,0.557
0.1857,0.492
0.2477,0.4599
0.3096,0.4502
0.3715,0.4689
0.4334,0.471
0.4953,0.466
0.5572,0.4936
0.6191,0.4658
0.6811,0.4618
0.743,0.477
0.8049,0.4886
0.8668,0.8316
0.9287,0.7971
0.9906,0.7514
1.0525,0.7486
6.3771,0.3208
6.6867,0.1893
6.7486,0.2702
6.8105,0.2717
6.8724,0.2717
6.9343,0.289
6.9962,0.2919
7.0582,0.3858
7.1201,0.2529
7.182,0.3194
7.2439,0.3208
7.4296,0.3743
7.4916,0.3788
7.5535,0.435
7.6154,0.3795
7.6773,0.3974
7.9869,0.263
8.0488,0.3656
8.1107,0.3526
8.1726,0.3454
8.2345,0.4451
8.4822,0.276
8.5441,0.2789
8.606,0.2775
8.6679,0.2832
8.7298,0.3761
8.7917,0.3858
9.0394,0.2312
9.1013,0.3181
9.1632,0.3223
9.2251,0.3194
9.4109,0.3049
9.4728,0.2746
9.5347,0.3064
9.5966,0.3309
9.6585,0.2789
9.7205,0.2775
9.7824,0.3078
9.8443,0.2688
9.9062,0.172
9.9681,0.2139
10.03,0.2211
10.0919,0.2139
10.1538,0.2235
10.2158,0.2355
10.2777,0.5983
10.3396,0.5173
10.7111,0.3887
10.773,0.3244
10.8349,0.1806
10.8968,0.2962
10.9587,0.2861
11.0206,0.2754
11.0826,0.1922
11.1445,0.2254
11.2064,0.1358
11.2683,0.159
11.3302,0.1705
11.3921,0.1734
11.454,0.1889
11.5159,0.3179
11.5779,0.3064
11.7017,0.1488
11.7636,0.2439
11.8255,0.2746
11.8874,0.2931
11.9493,0.2168
12.0113,0.3338
12.0732,0.3092
12.1351,0.3078
12.197,0.1792
12.2589,0.2399
12.3208,0.2225
12.3827,0.2139
12.4447,0.4251
12.5066,0.5101
12.94,0.3786
13.1257,0.3569
13.1876,0.3829
13.2495,0.2818
13.3114,0.2406
13.3734,0.2673
13.4353,0.2934
13.4972,0.2934
13.5591,0.3162
13.621,0.2991
13.6829,0.2702
13.7448,0.2399
13.8068,0.1604
13.8687,0.1922
13.9306,0.487
13.9925,0.4711
14.2402,0.2052
14.3021,0.3194
14.364,0.3194
14.4259,0.241
14.4878,0.2095
14.5497,0.2876
14.6116,0.2225
14.6735,0.1763
14.7355,0.146
14.7974,0.1705
14.8593,0.328
14.9212,0.3295
15.3546,0.1737
15.4165,0.1604
15.4784,0.1792
15.5403,0.1344
15.6023,0.2486
15.6642,0.2486
15.7261,0.3642
15.788,0.2789
15.8499,0.2601
15.9118,0.1416
15.9737,0.1691
16.0356,0.3991
16.0976,0.4855
16.1595,0.3584
16.2214,0.2775
16.2833,0.244
16.3452,0.354
16.469,0.3685
16.531,0.2731
16.5929,0.25
16.6548,0.1402
16.7167,0.1387
16.7786,0.1625
16.8405,0.211
16.9024,0.2269
16.9644,0.3006
17.0263,0.2558
17.0882,0.2558
17.1501,0.2479
17.212,0.461
17.2739,0.4321
17.3358,0.4046
17.3977,0.1763
17.4597,0.1763
17.5216,0.3078
17.5835,0.3049
17.6454,0.2673
17.7073,0.2225
17.8311,0.3584
18.0788,0.1474
18.1407,0.2009
18.2026,0.2789
18.2645,0.2847
18.3265,0.2081
18.3884,0.1955
18.4503,0.185
18.5122,0.237
18.5741,0.4032
18.636,0.4104
18.8837,0.3439
18.9456,0.4566
19.0075,0.4292
19.0694,0.2776
19.1313,0.211
19.1932,0.1869
19.2552,0.3861
19.3171,0.4261
19.6266,0.2234
19.6886,0.2399
19.7505,0.1908
19.8124,0.328
19.8743,0.3931
20.06,0.1127
20.122,0.2023
20.1839,0.2211
20.2458,0.2731
20.3077,0.197
20.3696,0.1728
20.4315,0.3237
20.4934,0.2645
21.4841,0.2803
21.546,0.2052
21.6079,0.1951
21.6698,0.2225
21.7317,0.3136
21.7936,0.3483
21.8555,0.3512
21.9174,0.2572
21.9794,0.1618
22.0413,0.2977
22.1032,0.2789
22.5366,0.3121
22.5985,0.1835
22.6604,0.2207
22.7223,0.2225
22.7842,0.263
22.8462,0.1965
22.9081,0.2601
22.97,0.3309
23.0319,0.2688
23.1557,0.2038
23.2176,0.2023
23.2795,0.1942
23.3415,0.1546
23.4034,0.1517
23.4653,0.1608
23.5272,0.3237
23.5891,0.3194
23.651,0.3194
23.7129,0.3309
23.7749,0.3309
23.9606,0.2962
24.0225,0.3507
24.0844,0.3006
24.3321,0.3121
24.394,0.2362
24.4559,0.1734
24.5178,0.1749
24.5797,0.2009
24.6417,0.3757
24.8893,0.2269
24.9512,0.2254
25.0131,0.2457
25.075,0.4329
25.137,0.5607
25.5084,0.3786
25.8799,0.1777
25.9418,0.1705
26.0038,0.1705
26.0657,0.2934
26.1276,0.3035
26.1895,0.302
26.2514,0.1142
26.3133,0.1272
26.3752,0.1272
26.4371,0.2334
26.4991,0.3035
26.561,0.3035
26.6229,0.1633
26.6848,0.1618
26.7467,0.0853
26.8086,0.1546
26.8705,0.1922
26.9325,0.2139
26.9944,0.1488
27.0563,0.0896
27.1182,0.2168
27.1801,0.2413
27.242,0.3165
27.3039,0.2457
27.3659,0.2011
27.4278,0.2254
27.4897,0.4133
27.7992,0.2298
27.8612,0.2645
27.9231,0.4595
27.985,0.5014
28.2326,0.2832
28.2946,0.4486
28.6041,0.2861
28.666,0.263
28.728,0.1329
28.7899,0.1806
28.8518,0.1561
28.9137,0.1542
28.9756,0.1171
29.0375,0.1702
29.0994,0.2225
29.1614,0.1908
29.2233,0.1618
29.2852,0.1618
29.3471,0.2355
29.409,0.2717
29.4709,0.2688
29.5328,0.1286
29.5947,0.1142
29.6567,0.1864
29.7186,0.3107
29.7805,0.3121
29.8424,0.2543
29.9043,0.1821
29.9662,0.1806
30.0281,0.1965
30.0901,0.224
30.152,0.2054
30.2139,0.2399
30.2758,0.2095
30.3377,0.2038
30.3996,0.2442
30.4615,0.2009
30.5235,0.224
30.5854,0.2832
30.6473,0.2182
30.7092,0.1951
30.7711,0.104
30.833,0.2264
30.8949,0.2211
30.9568,0.3237
31.0188,0.2847
31.0807,0.1893
31.2664,0.2789
31.3283,0.2803
31.3902,0.1893
31.4522,0.1864
31.5141,0.2876
31.576,0.3035
31.6379,0.237
