Time (s),Motion Intensity
2.7679,0.2977
2.7835,0.1763
2.7992,0.2558
2.8148,0.3526
2.8305,0.328
2.8461,0.3049
2.8617,0.2948
2.8774,0.341
2.893,0.3866
2.9086,0.4494
2.9243,0.3526
2.9399,0.3512
2.9556,0.2876
2.9712,0.3179
2.9868,0.4408
3.0025,0.4899
3.0181,0.4971
3.0338,0.3815
3.0494,0.2312
3.065,0.1792
3.0807,0.1821
3.0963,0.1922
3.1119,0.2486
3.1276,0.289
3.1432,0.3396
3.1589,0.3092
3.1745,0.2514
3.1901,0.25
3.2058,0.2254
3.2214,0.2139
3.237,0.1546
3.2527,0.1662
3.2683,0.1402
3.284,0.1344
3.2996,0.2355
3.3152,0.3266
3.3309,0.4263
3.3465,0.4176
3.3621,0.3223
3.3778,0.2688
3.3934,0.1792
3.4091,0.2225
3.4247,0.4017
3.4403,0.3902
3.5342,0.2543
3.5498,0.2486
3.5654,0.1879
3.5811,0.2428
3.5967,0.2558
3.6124,0.237
3.628,0.2399
3.6436,0.2428
3.6593,0.2775
3.6749,0.2558
3.6905,0.263
3.7062,0.2587
3.7218,0.1864
3.7375,0.2254
3.7531,0.2623
3.7687,0.2832
3.7844,0.2601
3.8,0.341
3.8156,0.3743
3.8313,0.3469
3.8469,0.3152
3.8626,0.3512
3.8782,0.3353
3.8938,0.3132
3.9095,0.2919
3.9251,0.3858
3.9408,0.3569
3.9564,0.3078
3.972,0.2486
3.9877,0.1908
4.0033,0.1922
4.0189,0.2327
4.0346,0.2486
4.0502,0.2298
4.0659,0.2038
4.0815,0.2413
4.0971,0.2269
4.1128,0.1936
4.1284,0.1994
4.144,0.185
4.1597,0.2471
4.1753,0.2948
4.191,0.2587
4.2066,0.1908
4.2222,0.1517
4.2379,0.1575
4.2535,0.1604
4.2691,0.1763
4.2848,0.2124
4.3004,0.2659
4.3161,0.2673
4.3317,0.2066
4.3473,0.1994
4.363,0.2066
4.3786,0.3251
4.3942,0.3266
4.4099,0.302
4.4255,0.3208
4.4412,0.4061
4.4568,0.4769
4.4724,0.4205
4.4881,0.3049
4.5194,0.2514
4.535,0.2343
4.5506,0.25
4.5663,0.2731
4.5819,0.2327
4.5975,0.1799
4.6132,0.1734
4.6288,0.3613
4.6445,0.3671
4.6601,0.3006
4.6757,0.1922
4.6914,0.2081
4.707,0.2514
4.7226,0.1993
4.7383,0.172
4.7539,0.1387
4.7696,0.211
4.7852,0.2659
4.8008,0.2457
4.8165,0.1792
4.8321,0.2009
4.8477,0.2587
4.8634,0.3454
4.879,0.3035
4.8947,0.2457
4.9103,0.1835
4.9259,0.2139
4.9416,0.1676
4.9572,0.1546
4.9729,0.0954
4.9885,0.1272
5.0041,0.2153
5.0198,0.2327
5.0354,0.3223
5.051,0.3237
5.0667,0.2832
5.0823,0.2124
5.098,0.2124
5.1136,0.2124
5.1292,0.1879
5.1449,0.1795
5.1605,0.1618
5.1761,0.1069
5.1918,0.1185
5.2074,0.1517
5.2231,0.1835
5.2387,0.3049
5.2543,0.3237
5.27,0.2731
5.2856,0.198
5.3012,0.1908
5.3169,0.198
5.3325,0.2558
5.3482,0.2861
5.3638,0.2775
5.3794,0.1749
5.3951,0.185
5.4107,0.2168
5.4264,0.2211
5.442,0.2139
5.4576,0.2514
5.4733,0.2514
5.4889,0.2283
5.5045,0.1879
5.5202,0.2254
5.5358,0.2081
5.5515,0.2876
5.5671,0.289
5.5827,0.3064
5.5984,0.4855
5.614,0.4321
5.7078,0.2847
5.7235,0.2861
5.7391,0.2991
5.7547,0.2298
5.7704,0.2168
5.786,0.172
5.8017,0.1705
5.8173,0.0954
5.8329,0.1185
5.8486,0.3049
5.8642,0.3324
5.8798,0.3382
5.8955,0.263
5.9111,0.2312
5.9268,0.2124
5.9424,0.2009
5.958,0.2457
5.9737,0.2977
5.9893,0.3194
6.005,0.3974
6.0206,0.3512
6.0362,0.2832
6.0519,0.328
6.0675,0.2991
6.0831,0.3251
6.0988,0.3125
6.1144,0.2962
6.1301,0.2024
6.1457,0.1951
6.1613,0.172
6.177,0.1734
6.1926,0.185
6.2082,0.1936
6.2239,0.1951
6.2395,0.1922
6.2552,0.1879
6.2708,0.1633
6.2864,0.1488
6.3021,0.1344
6.3177,0.1777
6.3333,0.1546
6.349,0.1315
6.3646,0.1199
6.3803,0.198
6.3959,0.237
6.4115,0.2514
6.4272,0.2344
6.4428,0.1875
6.4585,0.1951
6.4741,0.2298
6.4897,0.2095
6.5054,0.2066
6.521,0.1763
6.5366,0.2052
6.5523,0.1777
6.5679,0.1965
6.5836,0.211
6.5992,0.2659
6.6148,0.2398
6.6305,0.2124
6.6461,0.2168
6.6617,0.2254
6.6774,0.2066
6.693,0.1217
6.7087,0.1329
6.7243,0.1647
6.7399,0.2197
6.7556,0.2341
6.7712,0.2413
6.7868,0.315
6.8025,0.3699
6.8181,0.2876
6.8338,0.2471
6.8494,0.1936
6.865,0.211
6.8807,0.1922
6.8963,0.172
6.912,0.1893
6.9276,0.2384
6.9432,0.2832
6.9589,0.3092
6.9745,0.2832
6.9901,0.2688
7.0058,0.2486
7.0214,0.2355
7.0371,0.1936
7.0527,0.1358
7.0683,0.1286
7.084,0.237
7.0996,0.2587
7.1152,0.2312
7.1309,0.1257
7.1465,0.1228
7.1622,0.1705
7.1778,0.2659
7.1934,0.2919
7.2091,0.2731
7.2247,0.2139
7.2403,0.276
7.256,0.2775
7.2716,0.2327
7.2873,0.1575
7.3029,0.198
7.3185,0.224
7.3342,0.2225
7.3498,0.2601
7.3655,0.3208
7.3811,0.3295
7.3967,0.2225
7.4124,0.1445
7.428,0.2543
7.4436,0.2543
7.4593,0.3324
7.4749,0.2847
7.4906,0.276
7.5062,0.2355
7.5218,0.1749
7.5375,0.1951
7.5531,0.2312
7.5687,0.2254
7.5844,0.1806
7.6,0.276
7.6157,0.3309
7.6313,0.3584
7.6469,0.3353
7.6626,0.3324
7.6782,0.3382
7.6938,0.3902
7.7095,0.3786
7.7251,0.3454
7.7408,0.2572
7.7564,0.315
7.772,0.4841
7.7877,0.4827
7.8033,0.4292
7.8189,0.1994
7.8346,0.1821
7.8502,0.1922
7.8659,0.1908
7.8815,0.2327
7.8971,0.3165
7.9128,0.3208
7.9284,0.2514
7.9441,0.2543
7.9597,0.2052
7.9753,0.1922
7.991,0.1893
8.0066,0.4449
8.0222,0.5462
8.0379,0.5318
8.1317,0.2775
8.1473,0.2789
8.163,0.3078
8.1786,0.2095
8.1943,0.1301
8.2099,0.1575
8.2255,0.1792
8.2412,0.1994
8.2568,0.198
8.2724,0.2052
8.2881,0.2355
8.3037,0.263
8.3194,0.3092
8.335,0.2991
8.3506,0.2597
8.3663,0.2355
8.3819,0.276
8.3976,0.2717
8.4132,0.3425
8.4288,0.3439
8.4445,0.354
8.4601,0.2457
8.4757,0.1951
8.4914,0.1864
8.507,0.1835
8.5227,0.1257
8.5383,0.159
8.5539,0.1604
8.5696,0.1647
8.5852,0.1777
8.6008,0.1763
8.6165,0.1402
8.6321,0.1879
8.6478,0.2168
8.6634,0.4379
8.679,0.4379
8.6947,0.3569
8.7103,0.2601
8.7259,0.2717
8.7416,0.2413
8.7572,0.1286
8.7729,0.1272
8.7885,0.2211
8.8041,0.2384
8.8198,0.2225
