Time (s),Motion Intensity
2.7679,0.3266
2.893,0.1879
2.9086,0.1561
2.9243,0.0578
2.9399,0.0679
2.9556,0.0939
2.9712,0.2645
2.9868,0.3295
3.0025,0.3627
3.0338,0.1604
3.0494,0.1604
3.065,0.1561
3.0807,0.1532
3.0963,0.146
3.1119,0.2457
3.1276,0.2803
3.1432,0.2919
3.1589,0.2834
3.1745,0.2919
3.1901,0.3338
3.2058,0.3386
3.2214,0.3497
3.237,0.2818
3.2527,0.2139
3.2683,0.1777
3.284,0.1749
3.2996,0.1647
3.3152,0.2197
3.3309,0.2934
3.3465,0.2934
3.3621,0.2486
3.3778,0.1358
3.3934,0.1199
3.4091,0.0882
3.4247,0.2153
3.4403,0.2384
3.456,0.276
3.4716,0.4003
3.4873,0.4523
3.5029,0.341
3.5185,0.1792
3.5811,0.2558
3.5967,0.3107
3.6124,0.2341
3.628,0.2341
3.6436,0.1402
3.6593,0.2182
3.6905,0.198
3.7062,0.1705
3.7218,0.1474
3.7375,0.159
3.7531,0.1902
3.7687,0.2095
3.7844,0.2413
3.8,0.4509
3.8156,0.4364
3.9095,0.2818
3.9251,0.3353
3.9408,0.2225
3.9564,0.2225
3.972,0.2861
3.9877,0.3309
4.1128,0.3121
4.1284,0.3902
4.144,0.5231
4.191,0.2413
4.2066,0.1344
4.2535,0.1604
4.2691,0.1026
4.2848,0.1026
4.3004,0.1951
4.3161,0.1864
4.3317,0.185
4.3473,0.2659
4.363,0.2717
4.3786,0.1806
4.3942,0.0896
4.4412,0.2529
4.4568,0.2572
4.4724,0.2009
4.4881,0.1734
4.5037,0.1503
4.5194,0.1821
4.535,0.1893
4.5506,0.1763
4.5663,0.198
4.5819,0.1994
4.5975,0.2283
4.6132,0.1546
4.6288,0.1936
4.6445,0.2038
4.6601,0.2182
4.6757,0.3699
4.6914,0.3714
4.707,0.4812
4.7226,0.396
4.7383,0.3598
4.7539,0.3454
4.7696,0.2803
4.7852,0.2197
4.8008,0.2023
4.8165,0.1965
4.8321,0.1936
4.8477,0.1922
4.8634,0.2529
4.879,0.3078
4.8947,0.2919
4.9103,0.2124
4.9259,0.1575
4.9416,0.1777
4.9572,0.3049
4.9729,0.3194
4.9885,0.3627
5.0041,0.487
