Time (s),Motion Intensity
2.7679,0.1936
2.7835,0.146
2.7992,0.1488
2.8148,0.1503
2.8305,0.1936
2.8461,0.1965
2.8617,0.2095
2.8774,0.3396
2.893,0.4581
2.9086,0.4234
2.9868,0.2572
3.0025,0.2601
3.0181,0.2717
3.0338,0.2211
3.0494,0.1922
3.065,0.1026
3.0807,0.1185
3.0963,0.2341
3.1119,0.2355
3.1276,0.2211
3.1432,0.1879
3.1589,0.2399
3.1745,0.2962
3.1901,0.2905
3.2058,0.2645
3.2214,0.2659
3.237,0.2327
3.2527,0.2341
3.2683,0.3121
3.284,0.315
3.2996,0.4277
3.3152,0.3613
3.3309,0.3295
3.3465,0.3107
3.3621,0.3121
3.3778,0.2486
3.3934,0.2197
3.4091,0.1171
3.4247,0.1127
3.4403,0.1315
3.456,0.1344
3.4716,0.2486
3.4873,0.2977
3.5029,0.3642
3.5185,0.2861
3.5342,0.224
3.5498,0.2052
3.5654,0.276
3.5811,0.2775
3.5967,0.2529
3.6124,0.1893
3.628,0.2717
3.6436,0.2746
3.6593,0.2919
3.6749,0.3685
3.6905,0.3266
3.7062,0.3512
3.7218,0.3526
3.7844,0.1864
3.8,0.1416
3.8156,0.1199
3.8313,0.1431
3.8469,0.1546
3.8626,0.2355
3.8782,0.3035
3.8938,0.3332
3.9095,0.2789
3.9251,0.2023
3.9408,0.3237
3.972,0.4957
4.0659,0.2731
4.0815,0.1893
4.0971,0.3497
4.1128,0.3945
4.1284,0.3945
4.2066,0.3324
4.2222,0.2269
4.2379,0.1647
4.2535,0.1835
4.2691,0.2153
4.2848,0.2876
4.3004,0.3931
4.3161,0.3642
4.4099,0.185
4.4255,0.2225
4.4412,0.3092
4.4568,0.2384
4.4724,0.2355
4.4881,0.2225
4.5037,0.2197
4.5194,0.1936
4.535,0.2261
4.5506,0.2803
4.5663,0.396
4.5819,0.3728
4.5975,0.3136
4.6132,0.4176
4.6288,0.4812
4.6445,0.3945
4.6601,0.3251
4.6757,0.2746
4.7226,0.4118
4.8165,0.1662
4.8321,0.1257
4.8477,0.289
4.8634,0.2977
4.879,0.2673
4.8947,0.1691
4.9103,0.2066
4.9259,0.263
4.9416,0.2587
4.9572,0.3165
4.9729,0.315
4.9885,0.2673
5.0041,0.2399
5.0198,0.2486
5.0354,0.2514
5.051,0.276
5.0667,0.2731
5.0823,0.4538
5.098,0.4639
5.1136,0.4147
5.1292,0.2779
5.1449,0.2625
5.1918,0.2066
5.2074,0.2587
5.2231,0.1806
5.2387,0.1763
5.2543,0.185
5.27,0.1691
5.2856,0.1431
5.3012,0.1517
5.3169,0.2683
5.3325,0.2934
5.3482,0.3699
5.3638,0.3208
5.3794,0.4003
5.3951,0.461
5.4107,0.526
5.4264,0.3497
5.442,0.2442
5.4889,0.1936
5.5045,0.1821
5.5202,0.1806
5.5358,0.146
5.5515,0.1763
5.5671,0.2659
5.5827,0.2601
5.5984,0.2572
5.614,0.2066
5.6296,0.2269
5.6453,0.2298
5.6609,0.2616
5.6766,0.2052
5.6922,0.2038
5.7078,0.159
5.7235,0.1618
5.7391,0.1214
5.7547,0.1517
5.7704,0.2095
5.786,0.2124
5.8017,0.3309
5.8173,0.3772
5.8329,0.2934
5.8486,0.2153
5.8642,0.1387
5.8798,0.0954
5.8955,0.1647
5.9111,0.2543
5.9268,0.2558
5.9424,0.2269
5.958,0.1286
5.9737,0.1098
5.9893,0.1373
6.005,0.211
6.0206,0.2543
6.0362,0.2876
6.0519,0.2355
6.0675,0.1806
6.0831,0.2254
6.0988,0.1777
6.1144,0.1618
6.1301,0.1055
6.1457,0.1691
6.1613,0.328
6.177,0.4291
6.1926,0.4581
6.2708,0.313
6.2864,0.2341
6.3021,0.1882
6.3177,0.1864
6.3333,0.1864
6.349,0.1662
6.3646,0.1402
6.3803,0.2442
6.3959,0.3179
6.4115,0.354
6.4428,0.1821
6.4585,0.1965
6.4741,0.2587
6.4897,0.2601
6.5054,0.3078
6.521,0.2847
6.5366,0.3064
6.5523,0.315
6.5679,0.3483
6.5836,0.6012
6.5992,0.6286
6.693,0.2139
6.7087,0.3059
6.7243,0.3179
6.7399,0.3208
6.7556,0.2529
6.7712,0.3512
6.8963,0.2702
6.912,0.1792
6.9276,0.1777
6.9432,0.1806
6.9589,0.1936
6.9745,0.1908
6.9901,0.1431
7.0058,0.2211
7.0214,0.224
7.0371,0.3035
7.0527,0.2977
7.0683,0.2616
7.084,0.1488
7.0996,0.1488
7.1152,0.302
7.1309,0.3598
7.1465,0.396
7.2247,0.4408
7.2403,0.6763
7.256,0.6055
7.2716,0.9913
7.3498,0.2139
7.3655,0.2225
7.3811,0.2312
7.3967,0.185
7.4124,0.1301
7.428,0.1662
7.4436,0.2572
7.4593,0.3454
7.4749,0.302
7.4906,0.2514
7.5062,0.2066
7.5218,0.1821
7.5375,0.091
7.5531,0.0896
7.5687,0.1257
7.5844,0.1604
7.6,0.1488
7.6157,0.1821
7.6313,0.1922
7.6469,0.1864
7.6626,0.1517
7.6782,0.1763
7.6938,0.1561
7.7095,0.2153
7.7251,0.2168
7.7408,0.263
7.7564,0.1879
7.772,0.1633
7.7877,0.1546
7.8033,0.1532
7.8189,0.2327
7.8346,0.3324
7.8502,0.422
7.9128,0.2442
7.9284,0.2832
7.9441,0.2731
7.9597,0.4494
7.9753,0.4509
7.991,0.4306
8.0692,0.2327
8.0848,0.2428
8.1004,0.1792
8.1161,0.2673
8.1317,0.315
8.1473,0.3035
8.163,0.3396
8.1786,0.336
8.1943,0.3035
8.2099,0.237
8.335,0.0564
8.3506,0.1777
8.3663,0.2717
8.3819,0.3208
8.4288,0.1792
8.4445,0.1604
8.4601,0.159
8.4757,0.1808
8.4914,0.2211
8.507,0.2153
8.5227,0.1994
8.5383,0.1777
8.5539,0.1777
8.5696,0.1633
8.5852,0.1546
8.6008,0.1329
8.6165,0.1272
8.6321,0.1185
8.6478,0.2457
8.6634,0.2861
8.679,0.2832
8.6947,0.2211
8.7103,0.2341
8.7259,0.2702
8.7416,0.2572
8.7572,0.1749
8.7729,0.1503
8.7885,0.2038
8.8041,0.2355
8.8198,0.2991
8.8354,0.4075
8.8511,0.4249
8.9449,0.4162
8.9605,0.4176
8.9762,0.3309
8.9918,0.3295
9.0074,0.2717
9.0231,0.146
9.0387,0.1084
9.0543,0.1283
9.07,0.1344
