Time (s),Motion Intensity
2.7679,0.1156
2.7835,0.2038
2.7992,0.2861
2.8148,0.3512
2.8305,0.4075
2.8461,0.3483
2.8617,0.4032
2.8774,0.3743
2.893,0.3613
2.9086,0.396
2.9243,0.3873
2.9399,0.3844
2.9556,0.4118
2.9712,0.4769
3.2214,0.3107
3.237,0.349
3.2527,0.2673
3.2683,0.2775
3.284,0.2991
3.2996,0.4017
3.3152,0.3801
3.3309,0.3367
3.3465,0.3497
3.3621,0.3708
3.3778,0.5159
3.3934,0.5145
3.4091,0.461
3.4247,0.5332
3.4403,0.5347
3.5342,0.4711
3.628,0.3064
3.6436,0.4176
3.6593,0.4191
3.6749,0.4104
3.6905,0.2587
3.7375,0.3064
3.7531,0.5072
3.7687,0.4592
3.7844,0.448
3.8,0.3497
3.8156,0.3801
3.8313,0.3049
3.8469,0.2487
3.8626,0.1806
3.8782,0.2095
3.8938,0.4451
3.9095,0.4509
3.9251,0.513
3.9408,0.4321
3.9564,0.3555
3.972,0.3223
3.9877,0.3078
4.0033,0.3237
4.0189,0.2673
4.0346,0.2009
4.0502,0.1792
4.0659,0.2934
4.0815,0.4523
4.0971,0.4523
4.1753,0.3728
4.191,0.2616
4.2066,0.1965
4.2222,0.2673
4.2379,0.4191
4.2535,0.396
4.3473,0.3468
4.363,0.3582
4.3786,0.3454
4.3942,0.3367
4.4099,0.3685
4.4255,0.5145
4.4412,0.5217
4.4568,0.4783
4.4724,0.422
4.4881,0.4986
4.5037,0.4928
4.5194,0.4682
4.535,0.4234
4.5506,0.2948
4.5663,0.2717
4.5819,0.3483
4.5975,0.6272
4.6132,0.6286
4.707,0.2616
4.7226,0.2832
4.7383,0.3569
4.7539,0.3367
4.7696,0.328
4.7852,0.302
4.8008,0.2847
4.8165,0.2038
4.8321,0.2876
4.8477,0.2977
4.8634,0.4249
4.879,0.4354
4.8947,0.4595
4.9103,0.5043
4.9259,0.591
4.9416,0.4292
4.9572,0.4263
4.9729,0.2312
4.9885,0.3049
5.0041,0.4899
5.0198,0.4624
5.0354,0.4061
5.051,0.3844
5.1449,0.435
5.2231,0.2789
5.2387,0.2384
5.2543,0.2529
5.27,0.2413
5.2856,0.2673
5.3012,0.2124
5.3169,0.2081
5.3325,0.2095
5.3482,0.2052
5.3638,0.1662
5.3794,0.1936
5.3951,0.1763
5.4107,0.1821
5.4264,0.2153
5.442,0.2182
5.4576,0.4017
5.4733,0.4032
5.4889,0.4566
5.614,0.4321
5.6296,0.5072
5.6453,0.4017
5.6609,0.3512
5.7391,0.4335
5.7547,0.4147
5.7704,0.3425
5.786,0.328
5.8017,0.328
5.8173,0.276
5.8329,0.2494
5.8486,0.2688
5.8642,0.2645
5.8798,0.1749
5.8955,0.1965
5.9111,0.2775
5.9268,0.2962
5.9424,0.3324
5.958,0.5072
5.9737,0.4509
5.9893,0.4624
6.005,0.4639
6.0675,0.4191
6.0831,0.4097
6.0988,0.3931
6.1144,0.3584
6.1301,0.3569
6.1457,0.4003
6.1613,0.3873
6.177,0.3757
6.1926,0.4277
6.2082,0.4075
6.2239,0.4061
6.2395,0.3121
6.2552,0.2803
6.2708,0.2347
6.2864,0.1431
6.3021,0.185
6.3177,0.224
6.3333,0.2341
6.349,0.2847
6.3646,0.3382
6.3803,0.3613
6.3959,0.3266
6.4115,0.2413
6.4272,0.2428
6.4428,0.25
6.4585,0.2269
6.4741,0.2529
6.4897,0.2717
6.5054,0.4147
6.521,0.3584
6.5366,0.2731
6.5523,0.3743
6.5679,0.3757
6.6617,0.1806
6.6774,0.2269
6.693,0.3006
6.7087,0.3367
6.7243,0.3382
6.7399,0.341
6.7556,0.3974
6.7712,0.2673
6.7868,0.2919
6.8025,0.2514
6.8181,0.172
6.8338,0.1705
6.8494,0.1662
6.865,0.1936
6.8807,0.2486
6.8963,0.2919
6.912,0.2283
6.9276,0.185
6.9432,0.2153
6.9589,0.2587
6.9745,0.2919
6.9901,0.2399
7.0058,0.2312
7.0214,0.1532
7.0371,0.1633
7.0527,0.1532
7.0683,0.1517
7.084,0.1633
7.0996,0.237
7.1152,0.2673
7.1309,0.2399
7.1465,0.1951
7.1622,0.2457
7.1778,0.2717
7.1934,0.25
7.2091,0.1879
7.2247,0.1633
7.2403,0.1908
7.256,0.2688
7.2716,0.3338
7.2873,0.2775
7.3029,0.2529
7.3185,0.2124
7.3342,0.2514
7.3498,0.2977
7.3655,0.2991
7.3811,0.2991
7.3967,0.1965
7.4124,0.2168
7.428,0.2269
7.4436,0.3251
7.4593,0.3266
7.4749,0.3208
7.4906,0.2341
7.5062,0.2327
7.5218,0.3208
7.5375,0.4292
7.5531,0.3916
7.5687,0.3256
7.5844,0.3121
7.6,0.3092
7.6157,0.2673
7.6313,0.1965
7.6469,0.276
7.6626,0.2934
7.6782,0.3208
7.6938,0.3801
7.7095,0.2832
7.7251,0.2832
7.7408,0.3743
7.7564,0.3902
7.772,0.3887
7.8659,0.3728
7.8815,0.3555
7.8971,0.4422
7.9128,0.4422
7.9284,0.422
7.9441,0.3035
7.9597,0.1922
7.9753,0.1821
7.991,0.2673
8.0066,0.3439
8.0222,0.2717
8.0379,0.2471
8.0535,0.1662
8.0692,0.2384
8.0848,0.2269
8.1004,0.2182
8.1161,0.3526
8.1317,0.3642
8.1473,0.3714
8.163,0.3613
8.1786,0.3512
8.1943,0.3266
8.2099,0.3251
8.2255,0.2587
8.2412,0.2803
8.2568,0.315
8.2724,0.3497
8.2881,0.3078
8.3037,0.3064
8.3194,0.3772
8.335,0.3786
8.3506,0.3258
8.3663,0.2803
8.3819,0.1893
8.3976,0.2023
8.4132,0.2991
8.4288,0.3569
8.4445,0.3757
8.4601,0.2977
8.4757,0.3671
8.4914,0.4986
8.507,0.5072
8.5852,0.3035
8.6008,0.2905
8.6165,0.2601
8.6321,0.3439
8.6478,0.3584
8.6634,0.3526
8.679,0.3237
8.6947,0.3786
8.7103,0.4783
8.7259,0.4957
8.7416,0.3786
8.7572,0.3251
8.7729,0.1835
8.7885,0.1908
8.8041,0.25
8.8198,0.2876
8.8354,0.2514
8.8511,0.25
8.8667,0.2384
8.8823,0.2384
8.898,0.2717
8.9136,0.2789
8.9292,0.3179
8.9449,0.3136
8.9605,0.2616
8.9762,0.2514
8.9918,0.2659
9.0074,0.2457
9.0231,0.2081
9.0387,0.2182
9.0543,0.2312
9.07,0.2327
9.0856,0.2645
9.1013,0.3468
9.1169,0.4046
9.1325,0.3931
9.1482,0.3107
9.1638,0.2991
9.1794,0.3006
9.1951,0.3035
9.2107,0.2095
9.2264,0.2283
9.242,0.276
9.2576,0.237
9.2733,0.224
9.2889,0.2442
9.3045,0.3179
9.3202,0.3295
9.3358,0.2645
9.3515,0.2168
9.3671,0.2919
9.3827,0.2312
9.3984,0.1922
9.414,0.2023
9.4297,0.2746
9.4453,0.2818
9.4609,0.2298
9.4766,0.2203
9.4922,0.1879
9.5078,0.1835
9.5235,0.2168
9.5391,0.289
9.5548,0.3902
9.5704,0.3295
9.586,0.2254
9.6017,0.1749
9.6173,0.1618
9.6486,0.3266
9.6642,0.302
9.6799,0.435
9.6955,0.448
9.805,0.3237
9.8206,0.3555
9.8362,0.3208
9.8519,0.1951
9.8675,0.1647
9.8832,0.1705
9.8988,0.2283
9.9144,0.2616
9.9301,0.2673
9.9457,0.2283
9.9613,0.2038
9.977,0.1835
9.9926,0.1474
10.0083,0.25
10.0239,0.2254
10.0395,0.2254
10.0552,0.1416
10.0708,0.1908
10.0864,0.2211
10.1021,0.2384
10.1177,0.224
10.1334,0.185
10.149,0.2139
10.1646,0.2789
10.1803,0.3107
10.1959,0.2876
10.2115,0.2919
10.2272,0.2789
10.2428,0.3194
10.2585,0.2211
10.2741,0.2197
10.2897,0.1879
10.3054,0.1893
10.321,0.1358
10.3367,0.1734
10.3523,0.2038
10.3679,0.2095
10.3836,0.2442
10.3992,0.3092
10.4148,0.3584
10.4305,0.3439
10.4461,0.2876
10.4618,0.315
10.4774,0.3064
10.493,0.3613
10.5087,0.4074
10.5243,0.4855
10.5399,0.315
10.5556,0.3136
10.5712,0.2095
10.5869,0.2847
10.6025,0.2514
10.6181,0.211
10.6338,0.2832
10.6494,0.3353
10.665,0.2977
10.6807,0.2486
10.6963,0.1763
10.712,0.1474
10.7276,0.2269
10.7432,0.2673
10.7589,0.4436
10.7745,0.4451
10.7902,0.4422
10.8058,0.4509
10.8214,0.3136
10.8371,0.3049
10.8527,0.1749
10.8683,0.2572
10.884,0.437
10.8996,0.4552
10.9153,0.4335
10.9309,0.4279
10.9465,0.3251
10.9622,0.3786
10.9778,0.4104
10.9934,0.3598
11.0091,0.2529
11.0247,0.2702
11.0404,0.2616
11.056,0.2413
11.0716,0.1329
11.0873,0.1474
11.1029,0.1676
11.1185,0.2789
11.1342,0.3121
11.1498,0.3266
11.1655,0.2847
11.1811,0.2543
11.1967,0.2298
11.2124,0.1994
11.228,0.198
11.2436,0.3121
11.2593,0.2847
11.2749,0.2832
11.2906,0.2832
11.3062,0.2543
11.3218,0.1792
11.3375,0.1777
11.3531,0.1662
11.3688,0.1705
11.3844,0.2081
11.4,0.2197
11.4157,0.2038
11.4313,0.1358
11.4469,0.1257
11.4626,0.2182
11.4782,0.2529
11.4939,0.185
11.5095,0.1142
11.5251,0.1402
11.5408,0.263
11.5564,0.2861
11.572,0.25
11.5877,0.2934
11.6033,0.2847
11.619,0.3844
11.6346,0.3939
11.6502,0.3887
11.6659,0.3035
11.6815,0.3829
11.6971,0.435
11.7128,0.4538
11.7284,0.414
11.7441,0.3208
11.7597,0.3873
11.7753,0.3699
11.791,0.3483
11.8066,0.2442
11.8223,0.2731
11.8379,0.2717
11.8535,0.2645
11.8692,0.2486
11.8848,0.2399
11.9004,0.2269
11.9161,0.2702
11.9317,0.2601
11.9474,0.2601
11.963,0.2702
11.9786,0.2919
11.9943,0.2457
12.0099,0.1951
12.0255,0.0824
12.0412,0.2081
12.0568,0.2095
12.0725,0.2948
12.0881,0.2038
12.1037,0.3194
12.1194,0.3006
12.135,0.3006
12.1506,0.1604
12.1663,0.1691
12.1819,0.2673
12.1976,0.3049
12.2132,0.2673
12.2288,0.1257
12.2445,0.1763
12.2601,0.2413
12.2758,0.2558
12.2914,0.3757
12.307,0.3772
12.3227,0.3382
12.3383,0.2645
12.3539,0.1633
12.3696,0.1647
12.3852,0.2254
12.4009,0.3035
12.4165,0.3931
12.4321,0.2572
12.4478,0.3208
12.4634,0.3223
12.5416,0.2081
12.5572,0.2919
12.5729,0.3497
12.5885,0.3671
12.6041,0.3237
12.6198,0.2254
12.6354,0.1315
12.6511,0.2428
12.6667,0.3584
12.6823,0.4379
12.7449,0.1431
12.7605,0.146
12.7762,0.1503
12.7918,0.2442
12.8074,0.2601
12.8231,0.315
12.8387,0.2702
12.8544,0.2688
12.87,0.2948
12.8856,0.2457
12.9013,0.2095
12.9169,0.2355
12.9325,0.3266
12.9482,0.4436
12.9638,0.3887
12.9795,0.2558
12.9951,0.2529
13.0107,0.2225
13.0264,0.224
13.042,0.2471
13.0576,0.237
13.0733,0.1994
13.0889,0.1734
13.1046,0.185
13.1202,0.2009
13.1358,0.1532
13.1515,0.1936
13.1671,0.1431
13.1827,0.2139
13.1984,0.2153
13.214,0.2876
13.2297,0.2139
13.2453,0.1517
13.2609,0.2124
13.2766,0.2341
13.2922,0.2616
13.3079,0.2529
13.3235,0.2789
13.3391,0.2673
13.3548,0.2639
13.3704,0.2399
13.386,0.2991
13.4017,0.2919
13.4173,0.2919
13.433,0.1777
13.4486,0.1749
13.4642,0.2747
13.4799,0.2803
13.4955,0.4292
13.5111,0.4306
13.5268,0.3974
13.5424,0.3006
13.5581,0.3006
13.5737,0.3714
13.5893,0.4913
13.605,0.4451
13.6206,0.3367
13.6362,0.1604
13.6988,0.2818
13.7144,0.2197
13.7301,0.1864
13.7457,0.1532
13.7614,0.1676
13.777,0.1835
13.7926,0.185
13.8083,0.1647
13.8239,0.1922
13.8395,0.3166
13.8552,0.396
13.8708,0.3367
13.8865,0.3136
13.9177,0.289
13.9334,0.1647
13.949,0.1604
13.9646,0.2066
13.9803,0.289
13.9959,0.2934
14.0116,0.315
14.0272,0.3223
14.0428,0.3237
14.0585,0.2948
14.0741,0.237
14.0897,0.1835
14.1054,0.2341
14.121,0.2355
14.1367,0.1908
14.1523,0.1431
14.1679,0.2052
14.1836,0.2572
14.1992,0.198
14.2148,0.2746
14.2305,0.2775
14.2461,0.2948
14.2618,0.289
14.2774,0.2457
14.293,0.2442
14.3087,0.2905
14.3243,0.3266
14.34,0.315
14.3556,0.2847
14.3712,0.2991
14.3869,0.2991
14.4025,0.2861
14.4181,0.2564
14.4338,0.276
14.4494,0.2413
14.4651,0.1474
14.4807,0.1864
14.4963,0.1879
14.512,0.263
14.5276,0.185
14.5432,0.1806
14.5589,0.1864
14.5745,0.2731
14.5902,0.3076
14.6058,0.2731
14.6214,0.2601
14.6371,0.2211
14.6527,0.1893
14.6683,0.1387
14.684,0.1908
14.6996,0.2659
14.7153,0.2731
14.7309,0.2197
14.7465,0.1763
14.7622,0.211
14.7778,0.2139
14.7935,0.1965
14.8091,0.1705
14.8247,0.2225
14.8404,0.2355
14.856,0.2673
14.8716,0.2789
14.8873,0.3179
14.9029,0.3454
14.9186,0.2587
14.9342,0.2543
14.9498,0.3786
14.9655,0.4205
15.028,0.3396
15.0437,0.3295
15.0593,0.4306
15.0749,0.4783
15.0906,0.448
15.1062,0.3627
15.1218,0.4624
15.1375,0.5029
15.1531,0.341
15.2313,0.2702
15.247,0.2717
15.2626,0.3468
15.2782,0.3035
15.2939,0.302
15.3095,0.3035
15.3251,0.3092
15.3408,0.3194
15.3564,0.2312
15.3721,0.1243
15.3877,0.0925
15.4033,0.1951
15.419,0.2442
15.4346,0.4277
15.4502,0.4644
15.4659,0.4191
15.4815,0.3251
15.4972,0.2688
15.5441,0.4436
15.5597,0.3858
15.5753,0.2775
15.591,0.1965
15.6066,0.2572
15.6223,0.3396
15.6379,0.3815
15.6535,0.3497
15.6692,0.3916
15.6848,0.4884
15.7005,0.461
15.7161,0.4465
15.7317,0.2903
15.7474,0.2876
15.763,0.1893
15.7786,0.2457
15.7943,0.2934
15.8099,0.3338
15.8256,0.328
15.8412,0.328
15.8568,0.3136
15.8725,0.3179
15.8881,0.1936
15.9037,0.1561
15.9194,0.2645
15.935,0.3035
15.9507,0.3251
15.9663,0.2673
15.9819,0.224
15.9976,0.2009
16.0132,0.172
