Time (s),Motion Intensity
2.7679,0.7431
2.8774,0.2673
2.893,0.3295
2.9086,0.5072
2.9243,0.5723
3.0181,0.5592
3.0338,0.5939
3.1276,0.3439
3.1432,0.3887
3.1589,0.4234
3.1901,0.422
3.2214,0.2254
3.237,0.198
3.2527,0.341
3.2683,0.3425
3.284,0.3179
3.2996,0.2847
3.4403,0.1749
3.456,0.1777
3.4716,0.1864
3.4873,0.1994
3.5029,0.2298
3.5185,0.2269
3.5342,0.2413
3.5498,0.3512
3.5654,0.4139
3.5811,0.4188
3.5967,0.3714
3.6124,0.2673
3.628,0.2327
3.6436,0.2312
3.6749,0.409
3.6905,0.3815
3.7375,0.2962
3.7531,0.315
3.7687,0.3266
3.7844,0.237
3.8,0.1604
3.8156,0.2298
3.8313,0.2789
3.8469,0.2775
3.8626,0.2283
3.8782,0.2818
3.8938,0.2905
3.9095,0.3743
3.9251,0.3569
3.9408,0.3035
3.9564,0.2717
3.972,0.3309
3.9877,0.3382
4.0033,0.3136
4.0189,0.5058
4.0346,0.4653
4.0502,0.4624
4.1284,0.2197
4.144,0.2197
4.1597,0.1604
4.1753,0.159
4.191,0.2688
4.2066,0.3916
4.2222,0.4017
4.2379,0.4017
4.2535,0.2977
4.2691,0.2962
4.3004,0.2413
4.3161,0.2428
4.3317,0.3049
4.3473,0.3685
4.363,0.3439
4.3786,0.3512
4.3942,0.3613
4.4099,0.211
4.4255,0.2962
4.4412,0.3425
4.4568,0.5202
4.4724,0.3931
4.4881,0.302
4.5037,0.1893
4.535,0.2283
4.5506,0.2616
4.5663,0.341
4.5819,0.3223
4.5975,0.289
4.6132,0.2919
4.6288,0.2428
4.6445,0.3092
4.6601,0.5087
4.6757,0.6012
4.7696,0.2124
4.7852,0.1936
4.8008,0.2196
4.8165,0.2341
4.8321,0.2616
4.8477,0.2587
4.8634,0.3627
4.879,0.4855
4.8947,0.4075
4.9103,0.3049
4.9259,0.2514
4.9729,0.4566
4.9885,0.4176
5.0041,0.3598
5.0198,0.3598
5.0354,0.3483
5.051,0.2905
5.0667,0.2413
5.0823,0.237
5.098,0.2486
5.1136,0.2269
5.1292,0.2254
5.1449,0.2486
5.1605,0.2471
5.1761,0.2124
5.1918,0.2731
5.2074,0.3743
5.2231,0.4566
5.2387,0.3844
5.2543,0.3353
5.3169,0.4566
5.3794,0.3656
5.3951,0.2009
5.4107,0.1691
5.4264,0.1994
5.442,0.1994
5.4576,0.198
5.4733,0.2197
5.4889,0.2211
5.5045,0.211
5.5202,0.2006
5.5358,0.4191
5.5515,0.4552
5.6922,0.3107
5.7078,0.4191
5.7235,0.4205
5.7391,0.3743
5.7547,0.2659
5.7704,0.2587
5.786,0.3006
5.8017,0.2327
5.8173,0.3049
5.8329,0.3064
5.8486,0.3627
5.8642,0.3757
5.8798,0.3324
5.8955,0.2182
5.9111,0.1142
5.9268,0.1879
5.9424,0.2587
5.958,0.2587
5.9737,0.3613
5.9893,0.3483
6.005,0.3512
6.0362,0.5968
6.1457,0.2486
6.1613,0.1951
6.177,0.1315
6.1926,0.1416
6.2082,0.0853
6.2239,0.0853
6.2395,0.0621
6.2552,0.1864
6.2708,0.3439
6.2864,0.4075
6.3021,0.3598
6.3177,0.2818
6.3333,0.2225
6.349,0.2789
6.3646,0.2009
6.3803,0.1691
6.3959,0.2052
6.4115,0.302
6.4272,0.2991
6.4428,0.2312
6.4585,0.2962
6.4741,0.2558
6.4897,0.2038
6.5054,0.289
6.521,0.2902
6.5992,0.2702
6.6148,0.2717
6.6305,0.2948
6.6461,0.3266
6.6617,0.2066
6.6774,0.1925
6.693,0.2688
6.7087,0.4292
6.7243,0.3512
6.7712,0.2153
6.7868,0.185
6.8025,0.1893
6.8181,0.1358
6.8338,0.1185
6.8494,0.1416
6.865,0.3107
6.8807,0.3699
6.8963,0.3454
6.912,0.3425
6.9276,0.3121
6.9432,0.2948
6.9589,0.2052
6.9745,0.1228
6.9901,0.1474
7.0058,0.2529
7.0214,0.3902
7.084,0.2442
7.0996,0.1691
7.1152,0.2428
7.1309,0.354
7.1465,0.4104
7.256,0.2023
7.2716,0.3988
7.2873,0.3873
7.3811,0.3858
7.3967,0.3569
7.4124,0.2529
7.428,0.2197
7.4436,0.2471
7.4593,0.1864
7.4749,0.1723
7.4906,0.0694
7.5062,0.2225
7.5218,0.2486
7.5375,0.2919
7.5531,0.2442
7.5687,0.3006
7.5844,0.1965
7.6,0.1965
7.6157,0.1965
7.6313,0.276
7.6469,0.3092
7.6626,0.2688
7.6782,0.2688
7.6938,0.2688
7.7095,0.2688
7.7251,0.2081
7.7408,0.1171
7.7564,0.1056
7.772,0.1098
7.7877,0.2139
7.8033,0.2153
7.8189,0.2442
7.8346,0.3035
7.8502,0.3801
7.8659,0.591
7.8815,0.5723
7.8971,0.3974
7.9128,0.2327
8.0379,0.2616
8.0535,0.3728
8.0692,0.328
8.163,0.1416
8.1786,0.2121
