Time (s),Motion Intensity
2.7679,0.7298
2.7835,0.4913
2.7992,0.4277
2.8148,0.2023
2.8305,0.2991
2.8461,0.3512
2.8617,0.4128
2.8774,0.4566
2.893,0.4436
2.9086,0.3948
2.9243,0.3671
2.9399,0.4653
2.9556,0.4061
2.9712,0.3887
2.9868,0.3324
3.0494,0.4191
3.065,0.3815
3.0807,0.4191
3.0963,0.3454
3.1119,0.3454
3.3152,0.3844
3.4247,0.3598
3.4403,0.4422
3.5029,0.3136
3.5342,0.3858
3.6124,0.3772
3.6593,0.4653
3.6905,0.2616
3.7062,0.2919
3.7218,0.4061
3.8313,0.3786
4.0033,0.5477
4.0189,0.5758
4.0502,0.237
4.0659,0.1821
4.0815,0.2919
4.0971,0.396
4.1128,0.3237
4.1284,0.1994
4.144,0.2009
4.1753,0.3375
4.191,0.4075
4.2066,0.4624
4.2222,0.4133
4.2379,0.5275
4.2535,0.3714
4.2848,0.1416
4.3004,0.2009
4.3161,0.4191
4.3317,0.422
4.3942,0.3873
4.4255,0.3786
4.4412,0.4639
4.4568,0.2991
4.4724,0.2962
4.4881,0.2038
4.5037,0.4465
4.5194,0.474
4.535,0.6936
4.5506,0.7023
4.6132,0.4538
4.6288,0.6098
4.6445,0.5332
4.6601,0.2312
4.6757,0.2062
4.7696,0.4162
4.7852,0.4335
4.8634,0.1951
4.879,0.1936
4.9572,0.4538
5.0354,0.4032
5.051,0.3714
5.0667,0.1908
5.0823,0.1821
5.098,0.1835
5.1605,0.2673
5.2231,0.5448
5.3794,0.5506
5.3951,0.354
5.4107,0.2673
5.442,0.3092
5.4576,0.4249
5.4889,0.2673
5.5045,0.3223
5.5202,0.3382
5.5358,0.2948
5.5515,0.1994
5.5984,0.2355
5.614,0.3179
5.6296,0.4017
5.6453,0.3699
5.6609,0.3613
5.6766,0.2023
5.6922,0.2023
5.786,0.3346
5.8017,0.3974
5.8173,0.4552
5.8329,0.4538
5.8486,0.302
5.8642,0.3006
5.8798,0.4176
5.8955,0.4379
5.9737,0.2775
5.9893,0.1806
6.005,0.1171
6.0206,0.159
6.0988,0.4624
6.1144,0.5332
6.1457,0.487
6.177,0.2934
6.1926,0.3324
6.2082,0.2052
6.2552,0.4668
6.2708,0.6257
6.2864,0.4306
6.3021,0.3598
6.3177,0.4436
6.3333,0.354
6.349,0.3495
6.3646,0.2702
6.3803,0.4234
6.3959,0.3815
6.4115,0.3699
6.4428,0.2847
6.4585,0.2688
6.4741,0.2688
6.4897,0.2529
6.5054,0.2702
6.521,0.2847
6.5366,0.315
6.5523,0.3598
6.5679,0.3613
6.5836,0.4566
6.5992,0.4147
6.6148,0.4046
6.6461,0.396
6.7399,0.396
6.7556,0.382
6.8025,0.539
6.8181,0.3772
6.8338,0.3656
6.8494,0.3092
6.865,0.2962
6.8807,0.3258
6.8963,0.3295
6.912,0.5491
6.9276,0.604
6.9589,0.4306
6.9901,0.5636
7.0058,0.4566
7.0371,0.5462
7.0527,0.6731
7.0683,0.578
7.084,0.5246
7.0996,0.5303
7.1152,0.4566
7.1309,0.3337
7.1465,0.276
7.1622,0.3266
7.1778,0.2211
7.2873,0.5968
7.3029,0.9899
7.3185,0.5072
7.3342,0.2818
7.3498,0.3237
7.3655,0.3743
7.4124,0.1575
7.4593,0.6893
7.4749,0.4104
7.4906,0.3829
7.5062,0.4075
7.5218,0.3627
7.6313,0.5838
7.6469,0.568
7.6626,0.565
7.6782,0.4668
7.8189,0.5607
7.8346,0.4191
7.8815,0.2659
7.8971,0.3353
7.9128,0.3382
8.0379,0.3671
8.0535,0.3035
8.0692,0.302
8.0848,0.2327
8.1004,0.3324
8.1317,0.3829
8.1473,0.3223
8.163,0.3627
8.2099,0.4711
8.2255,0.4422
8.2412,0.4408
8.2568,0.4422
8.2724,0.2413
8.2881,0.1965
8.3037,0.2023
8.4132,0.3223
8.507,0.1734
8.5227,0.4017
8.5383,0.3786
8.6165,0.5592
8.6478,0.4566
8.6634,0.3439
8.679,0.2803
8.7103,0.1908
8.7885,0.3699
8.8041,0.5159
8.8198,0.5188
8.8354,0.5824
8.8511,0.4855
8.8667,0.4812
8.8823,0.2341
8.898,0.3324
8.9136,0.3324
8.9449,0.3858
8.9605,0.3873
8.9762,0.3873
9.0387,0.7124
9.0543,0.6604
9.1325,0.2789
9.1482,0.2731
9.1638,0.2269
9.1794,0.2038
9.1951,0.3275
9.2107,0.4306
9.2264,0.4986
9.242,0.4436
9.2576,0.3815
9.3202,0.4162
9.3671,0.1734
9.3827,0.3844
9.3984,0.4827
9.4297,0.315
9.4922,0.2399
9.5078,0.2081
9.5235,0.172
9.5391,0.3295
9.5548,0.4913
9.5704,0.4538
9.586,0.4061
9.6017,0.211
9.6173,0.2514
9.6329,0.2673
9.6642,0.2529
9.6799,0.2225
9.6955,0.2327
9.7111,0.3064
9.7268,0.4393
9.7424,0.3324
9.758,0.3295
9.7893,0.3497
9.805,0.3251
9.8206,0.3887
9.8519,0.4798
9.8675,0.4827
9.977,0.1373
9.9926,0.263
10.0083,0.3353
10.0552,0.396
10.0708,0.341
10.0864,0.2861
10.2897,0.2847
10.3054,0.2861
10.321,0.3179
10.3367,0.3471
10.3523,0.5058
10.3679,0.604
10.3992,0.448
10.4148,0.4451
10.4618,0.3844
10.5243,0.276
10.5399,0.3468
10.5556,0.3497
10.6494,0.4379
10.712,0.474
10.7745,0.2197
10.7902,0.3425
10.8058,0.4624
10.8371,0.4855
10.8527,0.2731
10.8683,0.3078
10.884,0.3237
10.8996,0.3974
10.9153,0.3613
10.9309,0.3035
10.9465,0.2023
10.9622,0.3584
10.9778,0.4422
11.0247,0.3454
11.0716,0.461
11.2124,0.4249
11.228,0.435
11.2436,0.513
11.2593,0.4725
11.2749,0.4509
11.2906,0.2934
11.3531,0.3324
11.3688,0.4494
11.3844,0.5592
11.4,0.5462
11.4469,0.448
11.4782,0.4668
11.4939,0.4263
11.5408,0.4292
11.572,0.4409
11.5877,0.5636
11.619,0.672
11.6346,0.5462
11.6502,0.4429
11.6815,0.2428
11.6971,0.2153
11.7441,0.4653
11.7597,0.4841
11.7753,0.5289
11.791,0.4306
11.8066,0.3728
11.8223,0.328
11.9004,0.5361
11.9161,0.5939
11.9317,0.4798
11.9474,0.4277
11.963,0.3107
12.0255,0.4364
12.0412,0.4393
12.1506,0.2254
12.1663,0.2934
12.1819,0.3483
12.1976,0.3656
12.2132,0.3844
12.3539,0.2211
12.3696,0.2081
12.3852,0.2312
12.4009,0.3035
12.4165,0.5419
12.4321,0.6344
12.4634,0.4277
12.479,0.3049
12.4947,0.2832
12.5103,0.2659
12.526,0.3338
12.5416,0.3786
12.5572,0.3887
12.5729,0.3786
12.5885,0.4061
12.6041,0.4096
12.6198,0.3858
12.6354,0.302
12.7449,0.4046
12.7605,0.3483
12.7762,0.3006
12.7918,0.3526
12.9013,0.3266
12.9169,0.2355
12.9325,0.2299
12.9482,0.1965
12.9638,0.302
12.9795,0.3468
12.9951,0.3916
13.0576,0.3121
13.0733,0.289
13.0889,0.276
13.1046,0.2081
13.1202,0.2327
13.1358,0.289
13.1515,0.341
13.1671,0.3507
13.1827,0.4104
13.1984,0.4393
13.214,0.5072
13.2297,0.4234
13.2453,0.3815
13.2609,0.2948
13.3235,0.2789
13.3391,0.3801
13.3548,0.4783
13.3704,0.4653
13.4799,0.3685
13.5268,0.552
13.5424,0.4769
13.5581,0.4292
13.5737,0.4812
13.5893,0.4538
13.7144,0.4884
13.7926,0.3223
13.8083,0.4017
13.8239,0.5014
13.9646,0.5954
13.9803,0.6534
13.9959,0.5766
14.0116,0.4783
14.0272,0.4697
14.0428,0.3887
14.0585,0.3049
14.0741,0.3685
14.1367,0.4061
14.1992,0.3714
14.2305,0.3078
14.2461,0.3526
14.2618,0.2818
14.2774,0.354
14.3087,0.3829
14.3243,0.4436
14.34,0.5101
14.3556,0.474
14.4025,0.224
14.4181,0.4061
14.4494,0.5506
14.4651,0.5303
14.4807,0.513
14.4963,0.4754
14.5589,0.354
14.5745,0.4639
14.5902,0.6012
14.6527,0.4711
14.6683,0.604
14.8716,0.4639
14.9029,0.4494
14.9186,0.3887
14.9342,0.4697
14.9498,0.5838
14.9655,0.4639
14.9811,0.3309
14.9967,0.3569
15.0124,0.4162
15.0437,0.3801
15.0749,0.2587
15.0906,0.2948
15.1062,0.2751
15.1218,0.2341
15.1375,0.1777
15.1531,0.2616
15.1688,0.3353
15.1844,0.4263
15.2,0.4379
15.2313,0.25
15.247,0.3064
15.2782,0.591
15.2939,0.5419
15.3095,0.3107
15.3251,0.4306
15.3408,0.4335
15.4502,0.5838
15.4659,0.3988
15.5284,0.4104
15.5441,0.3324
15.5597,0.3338
15.6066,0.5
15.6223,0.6156
15.6379,0.5939
15.6535,0.4725
15.6692,0.4003
15.7005,0.2962
15.7786,0.4682
15.7943,0.4032
15.8099,0.4595
15.8256,0.4668
15.8881,0.5665
15.9194,0.5708
15.935,0.4971
15.9507,0.4913
